timestamp,packet_id,pressure,accel_x,accel_y,accel_z
2025-07-17 14:10:06.742013,207,-1865.8,0.0866,-0.0114,1.0822
2025-07-17 14:10:06.842013,207,-1865.8,0.0881,-0.0158,1.0866
2025-07-17 14:10:07.092628,211,-1603.6,0.0866,-0.0126,1.0859
2025-07-17 14:10:07.192628,211,-1734.7,0.0883,-0.0141,1.0917
2025-07-17 14:10:07.337835,213,-1996.8,0.0886,-0.0173,1.0849
2025-07-17 14:10:07.437835,213,-1865.8,0.0888,-0.0134,1.0891
2025-07-17 14:10:07.499506,215,-1603.6,0.0869,-0.0146,1.0856
2025-07-17 14:10:07.599506,215,-1603.6,0.0903,-0.0126,1.0927
2025-07-17 14:10:07.942435,217,-1603.6,0.0886,-0.0161,1.0815
2025-07-17 14:10:08.042435,217,-1865.8,0.093,-0.0148,1.0864
2025-07-17 14:10:08.051271,220,-1472.6,0.091,-0.0166,1.0856
2025-07-17 14:10:08.151271,220,-1472.6,0.0866,-0.0178,1.0871
2025-07-17 14:10:08.159626,221,-1734.7,0.0927,-0.0144,1.0854
2025-07-17 14:10:08.487484,222,-2127.9,0.09,-0.0139,1.0842
2025-07-17 14:10:08.433410,224,-1865.8,0.0869,-0.0161,1.0856
2025-07-17 14:10:08.533410,224,-1603.6,0.0886,-0.0156,1.0881
2025-07-17 14:10:08.533937,225,-1341.5,0.091,-0.018,1.0883
2025-07-17 14:10:09.159469,232,-1603.6,0.0871,-0.0129,1.0842
2025-07-17 14:10:09.259469,232,-1472.6,0.0898,-0.01,1.0917
2025-07-17 14:10:09.422925,234,-1603.6,0.0888,-0.0156,1.0927
