id,timestamp,packet_id,pressure,accel_x,accel_y,accel_z
198_2,2025-07-19 01:05:22.164677,198,-817.2,0.3425,0.0983,1.0087
198_3,2025-07-19 01:05:22.264677,198,-1079.3,0.4038,0.0708,1.04
201_1,2025-07-19 01:05:22.336983,201,-948.3,0.3574,0.0834,1.0153
201_2,2025-07-19 01:05:22.436983,201,-292.9,0.3559,0.0458,0.9951
201_3,2025-07-19 01:05:22.536983,201,-161.8,0.3266,0.018,1.0329
204_1,2025-07-19 01:05:22.630202,204,-424.0,0.3449,-0.0285,1.0332
204_2,2025-07-19 01:05:22.730202,204,-424.0,0.249,-0.0656,1.0358
204_3,2025-07-19 01:05:22.830202,204,-424.0,0.3217,-0.0627,1.0419
207_1,2025-07-19 01:05:22.935517,207,-161.8,0.3134,-0.0908,1.0451
207_2,2025-07-19 01:05:23.035517,207,-161.8,0.3356,-0.0795,1.0151
207_3,2025-07-19 01:05:23.135517,207,-424.0,0.3356,-0.1254,1.0312
210_1,2025-07-19 01:05:23.236140,210,-686.1,0.3872,-0.0961,1.0051
210_2,2025-07-19 01:05:23.336140,210,-292.9,0.3491,-0.1066,1.019
210_3,2025-07-19 01:05:23.436140,210,-161.8,0.3171,-0.1362,1.0363
213_1,2025-07-19 01:05:23.535909,213,-161.8,0.2802,-0.1325,1.0366
213_2,2025-07-19 01:05:23.635909,213,-292.9,0.2626,-0.1423,1.0263
213_3,2025-07-19 01:05:23.735909,213,-424.0,0.2072,0.0031,1.0249
216_1,2025-07-19 01:05:23.832594,216,-424.0,0.2302,-0.1352,1.0676
216_2,2025-07-19 01:05:23.932594,216,-424.0,0.2685,-0.1232,1.0681
216_3,2025-07-19 01:05:24.032594,216,-555.1,0.3085,-0.1076,1.0266
219_1,2025-07-19 01:05:24.131721,219,-686.1,0.3437,-0.1062,1.0253
219_2,2025-07-19 01:05:24.231721,219,-292.9,0.392,-0.0957,0.989
219_3,2025-07-19 01:05:24.331721,219,-292.9,0.3198,0.0126,1.0456
222_1,2025-07-19 01:05:24.432684,222,-292.9,0.3771,-0.0388,0.9575
222_2,2025-07-19 01:05:24.532684,222,-424.0,0.3845,-0.0791,1.0148
222_3,2025-07-19 01:05:24.632684,222,-686.1,0.4079,-0.0615,1.0065
225_1,2025-07-19 01:05:24.737468,225,-817.2,0.4392,-0.0832,0.9926
225_2,2025-07-19 01:05:24.837468,225,-817.2,0.4533,-0.0837,1.2062
225_3,2025-07-19 01:05:24.937468,225,-555.1,0.3381,0.0639,0.9055
228_1,2025-07-19 01:05:25.036877,228,-817.2,0.3818,-0.0148,0.9763
228_2,2025-07-19 01:05:25.136877,228,-948.3,0.3098,-0.0532,1.0488
228_3,2025-07-19 01:05:25.236877,228,-686.1,0.2045,-0.0231,1.1113
231_1,2025-07-19 01:05:25.336270,231,-817.2,0.2998,0.0036,1.0222
231_2,2025-07-19 01:05:25.436270,231,-686.1,0.248,-0.0312,1.0739
231_3,2025-07-19 01:05:25.536270,231,-424.0,0.1589,-0.0224,1.0332
234_1,2025-07-19 01:05:25.633357,234,-817.2,0.2031,-0.0725,1.0354
234_2,2025-07-19 01:05:25.733357,234,-686.1,0.1118,0.0173,1.0261
234_3,2025-07-19 01:05:25.833357,234,-686.1,0.1469,0.0917,1.0568
237_1,2025-07-19 01:05:25.934945,237,-686.1,0.1115,0.0871,1.0493
237_2,2025-07-19 01:05:26.034945,237,-686.1,0.2382,0.0979,1.0764
237_3,2025-07-19 01:05:26.134945,237,-686.1,0.2768,0.0964,1.0266
240_1,2025-07-19 01:05:26.233204,240,-161.8,0.1254,0.1228,1.0646
240_2,2025-07-19 01:05:26.333204,240,-161.8,0.2312,0.1428,1.0595
240_3,2025-07-19 01:05:26.433204,240,-161.8,0.2163,0.1206,1.0461
246_1,2025-07-19 01:05:26.833340,246,-292.9,0.0993,0.1323,1.0749
246_2,2025-07-19 01:05:26.933340,246,-555.1,0.1574,0.1413,1.0629
246_3,2025-07-19 01:05:27.033340,246,-686.1,0.1818,0.1706,1.0588
252_1,2025-07-19 01:05:27.434168,252,-555.1,0.2114,0.155,1.0671
252_2,2025-07-19 01:05:27.534168,252,-424.0,0.1972,0.1552,1.0764
252_3,2025-07-19 01:05:27.634168,252,-292.9,0.2646,0.1169,1.0859
255_1,2025-07-19 01:05:27.737164,255,-161.8,0.175,0.1271,1.0529
255_2,2025-07-19 01:05:27.837164,255,-161.8,0.1748,0.091,1.0688
255_3,2025-07-19 01:05:27.937164,255,-555.1,0.1569,0.0541,1.0559
5_1,2025-07-19 01:05:28.329903,5,-424.0,0.1445,-0.0219,1.0769
5_2,2025-07-19 01:05:28.429903,5,-292.9,0.1267,-0.0524,1.0729
5_3,2025-07-19 01:05:28.529903,5,-555.1,0.1481,-0.0749,1.0139
8_1,2025-07-19 01:05:28.936318,8,-424.0,0.1718,-0.0817,1.0734
8_2,2025-07-19 01:05:29.036318,8,-686.1,0.2355,-0.0783,1.0366
8_3,2025-07-19 01:05:29.136318,8,-555.1,0.2739,-0.0612,1.0571
11_1,2025-07-19 01:05:28.936852,11,-30.8,0.2438,-0.0434,1.0473
11_2,2025-07-19 01:05:29.036852,11,-161.8,0.2165,-0.0258,1.0651
11_3,2025-07-19 01:05:29.136852,11,-161.8,0.2092,-0.0312,1.0756
14_1,2025-07-19 01:05:29.229331,14,-424.0,0.1777,-0.0195,1.0871
14_2,2025-07-19 01:05:29.329331,14,-555.1,0.2019,0.0017,1.0646
14_3,2025-07-19 01:05:29.429331,14,-424.0,0.1992,0.0329,1.0778
17_1,2025-07-19 01:05:29.537574,17,-292.9,0.1428,-0.0104,1.0646
17_2,2025-07-19 01:05:29.637574,17,-292.9,0.1271,-0.0588,1.0729
17_3,2025-07-19 01:05:29.737574,17,-424.0,0.1,-0.0441,1.0778
20_1,2025-07-19 01:05:29.836531,20,-424.0,0.0395,-0.0683,1.1291
20_2,2025-07-19 01:05:29.936531,20,-424.0,-0.008,-0.0944,1.0959
20_3,2025-07-19 01:05:30.036531,20,-555.1,-0.0327,-0.091,1.0761
23_1,2025-07-19 01:05:30.134265,23,-424.0,-0.0905,-0.1074,1.0527
23_2,2025-07-19 01:05:30.234265,23,-555.1,-0.061,-0.1025,1.06
23_3,2025-07-19 01:05:30.334265,23,-686.1,-0.1157,-0.0678,1.0732
26_1,2025-07-19 01:05:30.436539,26,-292.9,-0.1313,-0.038,1.0527
